n,p_delete,averagepivot_approximation,bestpivot_approximation
10,0,1.731462,1.019669
10,0.05,1.825082,1.04613
10,0.15,2.004657,1.044061
10,0.25,2.189446,1.175767
10,0.4,2.255145,1.21986
15,0,1.870916,1.018555
15,0.05,1.959797,1.03695
15,0.15,2.100127,1.138247
15,0.25,2.258211,1.260124
15,0.4,2.574828,1.598784
20,0,1.97222,1.057258
20,0.05,2.064163,1.100236
20,0.15,2.253035,1.266763
20,0.25,2.387919,1.476129
20,0.4,2.526787,1.711763
25,0,2.068368,1.087486
25,0.05,2.17712,1.173421
25,0.15,2.389952,1.403357
25,0.25,2.524087,1.582692
25,0.4,2.658818,1.889798
30,0,2.159551,1.147643
30,0.05,2.304043,1.245289
30,0.15,2.578926,1.552082
30,0.25,2.780282,1.793243
30,0.4,2.996167,2.191642
100,0,2.223859,1.723894
100,0.05,2.289679,1.829448
100,0.15,2.394441,1.948693
100,0.25,2.469918,2.086917
100,0.4,2.548218,2.237504
